ts_code,ticker,company_name,market,area,industry,list_date,index_code,column,orgId
000063.SZ,000063,中兴通讯,主板,深圳,通信设备,19971118,801102.SI,szse,gssz0000063
000070.SZ,000070,特发信息,主板,深圳,通信设备,20000511,801102.SI,szse,gssz0000070
000586.SZ,000586,汇源通信,主板,四川,通信设备,19951220,801102.SI,szse,gssz0000586
002017.SZ,002017,东信和平,主板,广东,通信设备,20040713,801102.SI,szse,gssz0002017
002104.SZ,002104,恒宝股份,主板,江苏,通信设备,20070110,801102.SI,szse,9900001841
002194.SZ,002194,武汉凡谷,主板,湖北,通信设备,20071207,801102.SI,szse,9900003908
002281.SZ,002281,光迅科技,主板,湖北,通信设备,20090821,801102.SI,szse,9900007888
002296.SZ,002296,辉煌科技,主板,河南,通信设备,20090929,801102.SI,szse,9900008169
002313.SZ,002313,日海智能,主板,深圳,通信设备,20091203,801102.SI,szse,9900009111
002396.SZ,002396,星网锐捷,主板,福建,通信设备,20100623,801102.SI,szse,9900012131
002491.SZ,002491,通鼎互联,主板,江苏,通信设备,20101021,801102.SI,szse,9900015177
002583.SZ,002583,海能达,主板,深圳,通信设备,20110527,801102.SI,szse,9900019838
002792.SZ,002792,通宇通讯,主板,广东,通信设备,20160328,801102.SI,szse,9900023217
002796.SZ,002796,世嘉科技,主板,江苏,通信设备,20160510,801102.SI,szse,9900026564
002881.SZ,002881,美格智能,主板,深圳,元器件,20170622,801102.SI,szse,9900032572
002897.SZ,002897,意华股份,主板,浙江,元器件,20170907,801102.SI,szse,9900032890
002902.SZ,002902,铭普光磁,主板,广东,通信设备,20170929,801102.SI,szse,9900030783
003031.SZ,003031,中瓷电子,主板,河北,元器件,20210104,801102.SI,szse,9900040654
003040.SZ,003040,楚天龙,主板,广东,通信设备,20210322,801102.SI,szse,9900041451
300098.SZ,300098,高新兴,创业板,广东,软件服务,20100728,801102.SI,szse,9900010590
300134.SZ,300134,大富科技,创业板,安徽,通信设备,20101026,801102.SI,szse,9900014469
300183.SZ,300183,东软载波,创业板,山东,通信设备,20110222,801102.SI,szse,9900016709
300205.SZ,300205,*ST天喻,创业板,湖北,通信设备,20110421,801102.SI,szse,9900017107
300213.SZ,300213,佳讯飞鸿,创业板,北京,通信设备,20110505,801102.SI,szse,9900003829
300308.SZ,300308,中际旭创,创业板,山东,通信设备,20120410,801102.SI,szse,9900022016
300353.SZ,300353,东土科技,创业板,北京,通信设备,20120927,801102.SI,szse,9900006124
300394.SZ,300394,天孚通信,创业板,江苏,通信设备,20150217,801102.SI,szse,9900023911
300414.SZ,300414,中光防雷,创业板,四川,通信设备,20150513,801102.SI,szse,9900023935
300502.SZ,300502,新易盛,创业板,四川,通信设备,20160303,801102.SI,szse,9900026455
300504.SZ,300504,天邑股份,创业板,四川,通信设备,20180330,801102.SI,szse,9900029631
300548.SZ,300548,长芯博创,创业板,浙江,通信设备,20161012,801102.SI,szse,9900026673
300555.SZ,300555,ST路通,创业板,江苏,通信设备,20161018,801102.SI,szse,9900026764
300563.SZ,300563,神宇股份,创业板,江苏,通信设备,20161114,801102.SI,szse,9900029382
300565.SZ,300565,科信技术,创业板,深圳,通信设备,20161122,801102.SI,szse,9900029470
300570.SZ,300570,太辰光,创业板,深圳,通信设备,20161206,801102.SI,szse,9900028902
300590.SZ,300590,移为通信,创业板,上海,通信设备,20170111,801102.SI,szse,9900030831
300615.SZ,300615,欣天科技,创业板,深圳,通信设备,20170215,801102.SI,szse,9900029769
300620.SZ,300620,光库科技,创业板,广东,通信设备,20170310,801102.SI,szse,9900031456
300627.SZ,300627,华测导航,创业板,上海,通信设备,20170321,801102.SI,szse,9900031443
300628.SZ,300628,亿联网络,创业板,福建,通信设备,20170317,801102.SI,szse,9900031465
300638.SZ,300638,广和通,创业板,深圳,通信设备,20170413,801102.SI,szse,9900030866
300689.SZ,300689,澄天伟业,创业板,深圳,通信设备,20170809,801102.SI,szse,9900033056
300698.SZ,300698,万马科技,创业板,浙江,通信设备,20170831,801102.SI,szse,gfbj0834864
300710.SZ,300710,万隆光电,创业板,浙江,通信设备,20171019,801102.SI,szse,gfbj0834108
300711.SZ,300711,广哈通信,创业板,广东,通信设备,20171101,801102.SI,szse,9900034451
300913.SZ,300913,兆龙互连,创业板,浙江,通信设备,20201207,801102.SI,szse,9900041896
301165.SZ,301165,锐捷网络,创业板,福建,通信设备,20221121,801102.SI,szse,nssc1000760
301191.SZ,301191,菲菱科思,创业板,深圳,通信设备,20220526,801102.SI,szse,9900036056
301202.SZ,301202,朗威股份,创业板,江苏,机械基件,20230705,801102.SI,szse,gfbj0835569
301205.SZ,301205,联特科技,创业板,湖北,通信设备,20220913,801102.SI,szse,9900052495
301307.SZ,301307,美利信,创业板,重庆,通信设备,20230424,801102.SI,szse,9900052775
301314.SZ,301314,科瑞思,创业板,广东,元器件,20230328,801102.SI,szse,9900048072
301419.SZ,301419,阿莱德,创业板,上海,通信设备,20230209,801102.SI,szse,9900036316
301577.SZ,301577,美信科技,创业板,广东,元器件,20240124,801102.SI,szse,gfbj0839002
600105.SH,600105,永鼎股份,主板,江苏,通信设备,19970929,801102.SI,sse,gssh0600105
600198.SH,600198,大唐电信,主板,北京,通信设备,19981021,801102.SI,sse,gssh0600198
600345.SH,600345,长江通信,主板,湖北,通信设备,20001222,801102.SI,sse,gssh0600345
600355.SH,600355,*ST精伦,主板,湖北,专用机械,20020613,801102.SI,sse,gssh0600355
600487.SH,600487,亨通光电,主板,江苏,通信设备,20030822,801102.SI,sse,gssh0600487
600498.SH,600498,烽火通信,主板,湖北,通信设备,20010823,801102.SI,sse,gssh0600498
600522.SH,600522,中天科技,主板,江苏,通信设备,20021024,801102.SI,sse,gssh0600522
600734.SH,600734,实达集团,主板,福建,软件服务,19960808,801102.SI,sse,gssh0600734
600775.SH,600775,南京熊猫,主板,江苏,通信设备,19961118,801102.SI,sse,gssh0600775
600776.SH,600776,东方通信,主板,浙江,通信设备,19961126,801102.SI,sse,gssh0600776
601869.SH,601869,长飞光纤,主板,湖北,通信设备,20180720,801102.SI,sse,GD100544
603042.SH,603042,华脉科技,主板,江苏,通信设备,20170602,801102.SI,sse,9900031495
603083.SH,603083,剑桥科技,主板,上海,通信设备,20171110,801102.SI,sse,9900033004
603118.SH,603118,共进股份,主板,深圳,通信设备,20150225,801102.SI,sse,9900023687
603236.SH,603236,移远通信,主板,上海,通信设备,20190716,801102.SI,sse,gfbj0836430
603421.SH,603421,鼎信通讯,主板,山东,通信设备,20161011,801102.SI,sse,9900026642
603803.SH,603803,瑞斯康达,主板,北京,通信设备,20170420,801102.SI,sse,9900030603
688027.SH,688027,国盾量子,科创板,安徽,通信设备,20200709,801102.SI,sse,9900038967
